family	params	seed	verdict	mono_verdict	agree	certcheck	rounds	cex	budget	chaotic	intermediate	exact	inv	abs_states	witness_len	mono_states
rand	3 4 2 5 0.5 24	24	holds	holds	yes	pass	2	0	11	1	0	2	1	1	0	1
rand	3 4 2 5 0.5 25	25	holds	holds	yes	pass	2	0	13	2	0	1	1	1	0	1
rand	3 4 2 5 0.5 26	26	violation	violation	yes	-	1	0	10	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 27	27	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 28	28	violation	violation	yes	-	1	0	12	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 29	29	violation	violation	yes	-	2	0	11	2	0	1	0	2	1	2
rand	3 4 2 5 0.5 30	30	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 31	31	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 32	32	violation	violation	yes	-	1	0	12	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 33	33	violation	violation	yes	-	1	0	13	3	0	0	0	3	1	2
rand	3 4 2 5 0.5 34	34	violation	violation	yes	-	1	0	12	3	0	0	0	4	1	3
rand	3 4 2 5 0.5 35	35	holds	holds	yes	pass	2	0	13	1	0	2	1	1	0	1
rand	3 4 2 5 0.5 36	36	holds	holds	yes	pass	3	0	15	0	0	3	1	1	0	1
rand	3 4 2 5 0.5 37	37	holds	holds	yes	pass	2	0	13	0	0	3	1	1	0	1
rand	3 4 2 5 0.5 38	38	violation	violation	yes	-	2	0	12	1	0	2	0	3	1	4
rand	3 4 2 5 0.5 39	39	violation	violation	yes	-	1	0	13	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 40	40	violation	violation	yes	-	1	0	10	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 41	41	violation	violation	yes	-	1	0	14	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 42	42	violation	violation	yes	-	1	0	12	3	0	0	0	2	1	3
rand	3 4 2 5 0.5 43	43	violation	violation	yes	-	1	0	14	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 44	44	holds	holds	yes	pass	3	0	12	1	0	2	1	1	0	1
rand	3 4 2 5 0.5 45	45	violation	violation	yes	-	1	0	14	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 46	46	violation	violation	yes	-	1	0	13	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 47	47	violation	violation	yes	-	1	0	10	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 48	48	violation	violation	yes	-	2	0	9	1	0	2	0	2	1	2
rand	3 4 2 5 0.5 49	49	violation	violation	yes	-	1	0	10	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 50	50	violation	violation	yes	-	1	0	14	3	0	0	0	3	1	2
rand	3 4 2 5 0.5 51	51	holds	holds	yes	pass	2	0	10	1	0	2	1	1	0	1
rand	3 4 2 5 0.5 52	52	violation	violation	yes	-	1	0	14	3	0	0	0	4	1	4
rand	3 4 2 5 0.5 53	53	violation	violation	yes	-	2	0	12	2	0	1	0	2	1	2
rand	3 4 2 5 0.5 54	54	violation	violation	yes	-	1	0	12	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 55	55	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 56	56	holds	holds	yes	pass	3	0	14	1	2	0	1	1	0	2
rand	3 4 2 5 0.5 57	57	violation	violation	yes	-	1	0	12	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 58	58	holds	holds	yes	pass	2	0	12	1	0	2	1	1	0	1
rand	3 4 2 5 0.5 59	59	violation	violation	yes	-	1	0	10	3	0	0	0	4	2	7
rand	3 4 2 5 0.5 60	60	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 61	61	holds	holds	yes	pass	3	1	13	1	0	2	3	3	0	4
rand	3 4 2 5 0.5 62	62	violation	violation	yes	-	2	0	11	2	0	1	0	2	1	2
rand	3 4 2 5 0.5 63	63	holds	holds	yes	pass	1	0	12	3	0	0	3	3	0	2
rand	3 4 2 5 0.5 64	64	violation	violation	yes	-	2	0	13	1	0	2	0	2	1	2
rand	3 4 2 5 0.5 65	65	violation	violation	yes	-	2	0	13	2	0	1	0	3	2	5
rand	3 4 2 5 0.5 66	66	violation	violation	yes	-	1	0	12	3	0	0	0	2	1	5
rand	3 4 2 5 0.5 67	67	holds	holds	yes	pass	3	0	12	0	1	2	2	2	0	3
rand	3 4 2 5 0.5 68	68	violation	violation	yes	-	1	0	10	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 69	69	violation	violation	yes	-	1	0	12	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 70	70	holds	holds	yes	pass	4	2	12	1	0	2	4	4	0	4
rand	3 4 2 5 0.5 71	71	holds	holds	yes	pass	2	0	12	1	0	2	1	1	0	1
rand	3 4 2 5 0.5 72	72	violation	violation	yes	-	1	0	10	3	0	0	0	4	2	4
rand	3 4 2 5 0.5 73	73	violation	violation	yes	-	2	3	12	2	0	1	0	5	2	6
rand	3 4 2 5 0.5 74	74	holds	holds	yes	pass	2	0	13	1	0	2	1	1	0	1
rand	3 4 2 5 0.5 75	75	violation	violation	yes	-	1	0	12	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 76	76	violation	violation	yes	-	1	0	10	3	0	0	0	3	1	2
rand	3 4 2 5 0.5 77	77	violation	violation	yes	-	1	0	13	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 78	78	holds	holds	yes	pass	3	0	11	1	0	2	1	1	0	3
rand	3 4 2 5 0.5 79	79	holds	holds	yes	pass	2	0	7	1	0	1	2	2	0	3
rand	3 4 2 5 0.5 80	80	violation	violation	yes	-	2	0	10	2	0	1	0	3	1	3
rand	3 4 2 5 0.5 81	81	violation	violation	yes	-	1	0	12	3	0	0	0	3	2	6
rand	3 4 2 5 0.5 82	82	violation	violation	yes	-	2	2	14	2	0	1	0	4	1	3
rand	3 4 2 5 0.5 83	83	violation	violation	yes	-	1	0	10	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 84	84	violation	violation	yes	-	2	0	13	2	0	1	0	2	1	2
rand	3 4 2 5 0.5 85	85	holds	holds	yes	pass	2	0	9	1	0	2	1	1	0	1
rand	3 4 2 5 0.5 86	86	violation	violation	yes	-	1	0	10	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 87	87	violation	violation	yes	-	1	0	10	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 88	88	violation	violation	yes	-	1	0	13	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 89	89	violation	violation	yes	-	1	0	9	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 90	90	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 91	91	holds	holds	yes	pass	2	0	11	1	1	1	1	1	0	1
rand	3 4 2 5 0.5 92	92	holds	holds	yes	pass	2	0	12	2	0	1	2	2	0	3
rand	3 4 2 5 0.5 93	93	violation	violation	yes	-	1	0	13	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 94	94	violation	violation	yes	-	1	0	13	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 95	95	violation	violation	yes	-	1	0	14	3	0	0	0	2	1	3
rand	3 4 2 5 0.5 96	96	violation	violation	yes	-	1	0	11	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 97	97	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 98	98	violation	violation	yes	-	1	0	13	3	0	0	0	3	2	7
rand	3 4 2 5 0.5 99	99	holds	holds	yes	pass	2	0	11	2	0	1	1	1	0	1
rand	3 4 2 5 0.5 100	100	holds	holds	yes	pass	2	0	11	2	0	1	3	3	0	5
rand	4 5 3 8 0.4 1	1	violation	violation	yes	-	1	0	16	4	0	0	0	3	1	3
rand	4 5 3 8 0.4 2	2	violation	violation	yes	-	2	2	14	3	0	1	0	3	1	4
rand	4 5 3 8 0.4 3	3	holds	holds	yes	pass	2	1	20	2	0	2	1	1	0	1
rand	4 5 3 8 0.4 4	4	holds	holds	yes	pass	4	1	21	1	0	3	1	1	0	1
rand	4 5 3 8 0.4 5	5	violation	violation	yes	-	2	0	18	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 6	6	violation	violation	yes	-	2	0	17	2	0	2	0	3	1	3
rand	4 5 3 8 0.4 7	7	violation	violation	yes	-	2	0	18	3	0	1	0	4	2	5
rand	4 5 3 8 0.4 8	8	violation	violation	yes	-	1	0	18	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 9	9	violation	violation	yes	-	2	0	21	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 10	10	violation	violation	yes	-	1	0	15	4	0	0	0	3	1	4
rand	4 5 3 8 0.4 11	11	violation	violation	yes	-	1	0	22	4	0	0	0	2	1	3
rand	4 5 3 8 0.4 12	12	violation	violation	yes	-	1	0	17	4	0	0	0	3	1	5
rand	4 5 3 8 0.4 13	13	holds	holds	yes	pass	3	1	18	1	0	3	3	3	0	3
rand	4 5 3 8 0.4 14	14	violation	violation	yes	-	1	0	19	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 15	15	violation	violation	yes	-	2	1	14	2	0	2	0	3	1	3
rand	4 5 3 8 0.4 16	16	violation	violation	yes	-	1	0	17	4	0	0	0	2	1	3
rand	4 5 3 8 0.4 17	17	violation	violation	yes	-	1	0	20	4	0	0	0	3	1	3
rand	4 5 3 8 0.4 18	18	violation	violation	yes	-	1	0	21	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 19	19	violation	violation	yes	-	1	0	19	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 20	20	violation	violation	yes	-	1	0	14	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 21	21	violation	violation	yes	-	3	1	19	2	0	2	0	3	2	5
rand	4 5 3 8 0.4 22	22	violation	violation	yes	-	1	0	15	4	0	0	0	3	1	6
rand	4 5 3 8 0.4 23	23	violation	violation	yes	-	1	0	17	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 24	24	holds	holds	yes	pass	2	0	20	3	0	1	3	3	0	2
rand	4 5 3 8 0.4 25	25	violation	violation	yes	-	1	0	16	4	0	0	0	2	1	3
rand	4 5 3 8 0.4 26	26	violation	violation	yes	-	3	0	17	2	1	1	0	2	1	3
rand	4 5 3 8 0.4 27	27	violation	violation	yes	-	1	0	15	4	0	0	0	3	1	3
rand	4 5 3 8 0.4 28	28	violation	violation	yes	-	3	2	15	2	0	2	0	4	2	5
rand	4 5 3 8 0.4 29	29	violation	violation	yes	-	3	2	18	2	0	2	0	6	2	6
rand	4 5 3 8 0.4 30	30	violation	violation	yes	-	1	0	21	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 31	31	violation	violation	yes	-	3	2	23	2	0	2	0	2	1	2
rand	4 5 3 8 0.4 32	32	violation	violation	yes	-	1	0	18	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 33	33	violation	violation	yes	-	1	0	18	4	0	0	0	4	1	3
rand	4 5 3 8 0.4 34	34	violation	violation	yes	-	1	0	19	4	0	0	0	3	1	4
rand	4 5 3 8 0.4 35	35	violation	violation	yes	-	1	0	15	4	0	0	0	4	1	2
rand	4 5 3 8 0.4 36	36	holds	holds	yes	pass	2	0	16	2	0	2	1	1	0	1
rand	4 5 3 8 0.4 37	37	violation	violation	yes	-	2	0	15	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 38	38	holds	holds	yes	pass	4	2	16	1	0	3	8	8	0	8
rand	4 5 3 8 0.4 39	39	holds	holds	yes	pass	2	0	18	3	0	1	3	3	0	1
rand	4 5 3 8 0.4 40	40	violation	violation	yes	-	2	0	19	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 41	41	violation	violation	yes	-	1	0	19	4	0	0	0	4	2	5
rand	4 5 3 8 0.4 42	42	violation	violation	yes	-	1	0	16	4	0	0	0	3	1	2
rand	4 5 3 8 0.4 43	43	violation	violation	yes	-	1	0	15	4	0	0	0	3	1	4
rand	4 5 3 8 0.4 44	44	violation	violation	yes	-	2	0	16	3	1	0	0	3	1	3
rand	4 5 3 8 0.4 45	45	violation	violation	yes	-	1	0	21	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 46	46	violation	violation	yes	-	3	0	21	2	0	2	0	2	1	2
rand	4 5 3 8 0.4 47	47	violation	violation	yes	-	2	0	18	3	0	1	0	3	1	3
rand	4 5 3 8 0.4 48	48	violation	violation	yes	-	1	0	19	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 49	49	violation	violation	yes	-	2	0	19	3	0	1	0	2	1	3
rand	4 5 3 8 0.4 50	50	violation	violation	yes	-	2	0	19	3	0	1	0	4	1	4
rand	4 5 3 8 0.4 51	51	violation	violation	yes	-	1	0	18	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 52	52	violation	violation	yes	-	1	0	14	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 53	53	violation	violation	yes	-	1	0	18	4	0	0	0	2	1	3
rand	4 5 3 8 0.4 54	54	violation	violation	yes	-	2	0	21	3	0	1	0	2	1	3
rand	4 5 3 8 0.4 55	55	violation	violation	yes	-	1	0	17	4	0	0	0	2	1	3
rand	4 5 3 8 0.4 56	56	violation	violation	yes	-	3	0	19	2	0	2	0	4	2	8
rand	4 5 3 8 0.4 57	57	violation	violation	yes	-	3	3	20	2	0	2	0	6	5	6
rand	4 5 3 8 0.4 58	58	violation	violation	yes	-	1	0	13	4	0	0	0	2	1	3
rand	4 5 3 8 0.4 59	59	violation	violation	yes	-	2	0	22	3	0	1	0	2	1	3
rand	4 5 3 8 0.4 60	60	violation	violation	yes	-	1	0	19	4	0	0	0	4	1	4
rand	4 5 3 8 0.4 61	61	violation	violation	yes	-	2	0	13	2	0	2	0	2	1	2
rand	4 5 3 8 0.4 62	62	violation	violation	yes	-	2	0	16	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 63	63	violation	violation	yes	-	2	0	17	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 64	64	violation	violation	yes	-	1	0	15	4	0	0	0	4	1	4
rand	4 5 3 8 0.4 65	65	violation	violation	yes	-	2	0	16	3	0	1	0	2	1	3
rand	4 5 3 8 0.4 66	66	violation	violation	yes	-	2	0	17	3	0	1	0	2	1	4
rand	4 5 3 8 0.4 67	67	violation	violation	yes	-	2	2	16	1	0	3	0	6	2	9
rand	4 5 3 8 0.4 68	68	violation	violation	yes	-	2	0	22	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 69	69	violation	violation	yes	-	1	0	17	4	0	0	0	3	1	3
rand	4 5 3 8 0.4 70	70	violation	violation	yes	-	1	0	18	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 71	71	violation	violation	yes	-	1	0	19	4	0	0	0	4	1	5
rand	4 5 3 8 0.4 72	72	holds	holds	yes	pass	3	0	19	2	0	2	2	2	0	1
rand	4 5 3 8 0.4 73	73	violation	violation	yes	-	3	3	19	0	0	4	0	5	3	5
rand	4 5 3 8 0.4 74	74	violation	violation	yes	-	1	0	22	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 75	75	violation	violation	yes	-	4	7	21	1	1	2	0	6	2	6
rand	4 5 3 8 0.4 76	76	violation	violation	yes	-	1	0	15	4	0	0	0	4	1	3
rand	4 5 3 8 0.4 77	77	holds	holds	yes	pass	3	0	12	1	0	2	1	1	0	1
rand	4 5 3 8 0.4 78	78	holds	holds	yes	pass	3	0	21	2	0	2	1	1	0	1
rand	4 5 3 8 0.4 79	79	violation	violation	yes	-	2	0	19	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 80	80	holds	holds	yes	pass	2	0	16	2	0	2	1	1	0	1
rand	4 5 3 8 0.4 81	81	holds	holds	yes	pass	4	2	20	1	0	3	1	1	0	1
rand	4 5 3 8 0.4 82	82	holds	holds	yes	pass	3	0	19	1	0	3	1	1	0	1
rand	4 5 3 8 0.4 83	83	violation	violation	yes	-	1	0	17	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 84	84	violation	violation	yes	-	1	0	22	4	0	0	0	2	1	3
rand	4 5 3 8 0.4 85	85	violation	violation	yes	-	2	0	14	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 86	86	violation	violation	yes	-	2	0	20	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 87	87	holds	holds	yes	pass	3	2	17	2	1	1	1	1	0	4
rand	4 5 3 8 0.4 88	88	violation	violation	yes	-	2	0	19	3	0	1	0	2	1	3
rand	4 5 3 8 0.4 89	89	holds	holds	yes	pass	3	2	17	1	0	3	1	1	0	1
rand	4 5 3 8 0.4 90	90	violation	violation	yes	-	1	0	16	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 91	91	violation	violation	yes	-	1	0	17	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 92	92	holds	holds	yes	pass	2	0	20	3	0	1	2	2	0	2
rand	4 5 3 8 0.4 93	93	violation	violation	yes	-	2	2	18	3	0	1	0	4	1	4
rand	4 5 3 8 0.4 94	94	violation	violation	yes	-	1	0	17	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 95	95	violation	violation	yes	-	2	0	22	3	0	1	0	2	1	2
rand	4 5 3 8 0.4 96	96	violation	violation	yes	-	3	2	20	2	0	2	0	6	2	7
rand	4 5 3 8 0.4 97	97	violation	violation	yes	-	1	0	18	4	0	0	0	2	1	3
rand	4 5 3 8 0.4 98	98	violation	violation	yes	-	1	0	18	4	0	0	0	3	1	5
rand	4 5 3 8 0.4 99	99	violation	violation	yes	-	1	0	21	4	0	0	0	2	1	2
rand	4 5 3 8 0.4 100	100	violation	violation	yes	-	1	0	20	4	0	0	0	2	1	2
